,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
87,SV,2022-07-01,76.4,-1.97,5.49,"McKay, David",669289,641853,,ball,,,,,14.0,Santiago Espinal walks.   Lourdes Gurriel Jr.  to 2nd.,R,R,R,TOR,TB,B,,,0,0,2022,1.37,-0.9,0.93,1.26,,,666971.0,0,6,Bot,,,,,650907,,,3.6428661405630938,-111.0748030736036,-0.0978565008216338,10.408562102433782,23.7975091880872,-39.76954497851228,3.31,1.55,,,,76.1,2683.0,6.5,661725,641853,650907,596847,670623,650490,677551,666139,595281,621433,53.97,,,,,,,,55,1,Slurve,5,2,5,2,2,5,5,2,Standard,Standard,53.0,0.0,0.059
91,SV,2022-07-01,77.2,-2.15,5.31,"McKay, David",666971,641853,,ball,,,,,13.0,Lourdes Gurriel Jr.  singles on a sharp ground ball to right fielder Brett Phillips.,R,R,R,TOR,TB,B,,,0,1,2022,1.13,-0.94,-1.1,2.26,,,,0,6,Bot,,,,,650907,,,0.1572076785638195,-112.29013108174004,2.281002379840488,9.477692562990354,22.34098550441296,-40.79882009546454,3.44,1.67,,,,77.2,2599.0,6.5,661725,641853,650907,596847,670623,650490,677551,666139,595281,621433,53.98,,,,,,,,54,2,Slurve,5,2,5,2,2,5,5,2,Standard,Standard,54.0,0.0,0.025
101,SV,2022-05-31,77.7,-1.99,5.33,"McKay, David",501571,641853,,blocked_ball,,,,,14.0,Juan Lagares walks.   Jared Walsh to 2nd.,R,R,R,NYY,LAA,B,,,0,0,2022,1.07,-1.21,1.96,0.49,622110.0,,665120.0,2,9,Top,,,,,624431,,,6.511686233969989,-112.9587727755132,-1.2097171427801496,7.92650017053176,20.91952447088644,-42.48255419924584,3.51,1.71,,,,77.8,2795.0,6.5,661331,641853,624431,519203,650402,518934,643396,609280,592450,608336,54.02,,,,,,,,74,1,Slurve,9,1,1,9,1,9,1,9,Standard,Standard,52.0,0.0,0.064
104,SV,2022-05-31,76.1,-1.99,5.28,"McKay, David",665120,641853,,called_strike,,,,,4.0,"Jared Walsh grounds into a force out, first baseman Anthony Rizzo to shortstop Isiah Kiner-Falefa.   Matt Duffy to 3rd.    Max Stassi out at 2nd.    Jared Walsh to 1st.",R,L,R,NYY,LAA,S,,,0,0,2022,0.99,-0.72,-0.35,2.18,,622110.0,545358.0,1,9,Top,,,,,624431,,,1.6683585249791424,-110.79895437469582,1.902772109053132,7.846641304515324,20.739478240619317,-38.66117969551004,3.39,1.63,,,,76.3,2556.0,6.5,661331,641853,624431,519203,650402,518934,643396,609280,592450,608336,53.98,,,,,,,,73,1,Slurve,9,1,1,9,1,9,1,9,Infield shift,Standard,46.0,0.0,-0.081
106,SV,2022-05-31,75.5,-1.96,5.29,"McKay, David",545358,641853,,foul,,,,,9.0,Max Stassi walks.   Matt Duffy to 2nd.,R,R,R,NYY,LAA,S,,,3,2,2022,1.47,-1.01,0.33,2.07,,,622110.0,1,9,Top,,,,,624431,,,2.129083449250762,-109.9051201820752,2.2653590645450628,11.433838394586209,21.35745502810985,-40.97601408896205,3.58,1.74,2.0,66.0,-48.0,75.4,2745.0,6.4,661331,641853,624431,519203,650402,518934,643396,609280,592450,608336,54.12,,,,,,,,72,6,Slurve,9,1,1,9,1,9,1,9,Standard,Standard,50.0,0.0,0.0
108,SV,2022-05-31,77.6,-1.86,5.4,"McKay, David",545358,641853,,ball,,,,,14.0,Max Stassi walks.   Matt Duffy to 2nd.,R,R,R,NYY,LAA,B,,,1,2,2022,1.17,-1.08,1.56,1.38,,,622110.0,1,9,Top,,,,,624431,,,5.174056732017207,-112.85832410849,0.4007395956162738,8.855511315472018,23.073233465754992,-41.67096118570679,3.6,1.74,,,,77.4,2857.0,6.4,661331,641853,624431,519203,650402,518934,643396,609280,592450,608336,54.07,,,,,,,,72,4,Slurve,9,1,1,9,1,9,1,9,Standard,Standard,43.0,0.0,0.057
109,SV,2022-05-31,76.9,-1.99,5.29,"McKay, David",545358,641853,,swinging_strike,,,,,14.0,Max Stassi walks.   Matt Duffy to 2nd.,R,R,R,NYY,LAA,S,,,1,1,2022,1.28,-1.09,0.58,1.47,,,622110.0,1,9,Top,,,,,624431,,,3.1363621453160224,-111.91374737971492,0.9695469283293734,10.001518503413122,22.690099689662244,-41.704774317604,3.58,1.74,,,,76.8,2770.0,6.5,661331,641853,624431,519203,650402,518934,643396,609280,592450,608336,54.04,,,,,,,,72,3,Slurve,9,1,1,9,1,9,1,9,Standard,Standard,48.0,0.0,-0.07
111,SV,2022-05-31,76.6,-2.02,5.29,"McKay, David",545358,641853,,called_strike,,,,,9.0,Max Stassi walks.   Matt Duffy to 2nd.,R,R,R,NYY,LAA,S,,,0,0,2022,1.0,-1.07,0.47,1.47,,,622110.0,1,9,Top,,,,,624431,,,3.4525167394779173,-111.48147441863662,0.9171912890862088,7.659514445724869,20.467029318003984,-41.50687984119651,3.58,1.57,,,,76.8,2749.0,6.5,661331,641853,624431,519203,650402,518934,643396,609280,592450,608336,54.03,,,,,,,,72,1,Slurve,9,1,1,9,1,9,1,9,Standard,Standard,49.0,0.0,-0.048
112,SV,2022-05-31,76.6,-2.11,5.25,"McKay, David",650859,641853,field_out,hit_into_play,,,,,4.0,Luis Rengifo flies out to left fielder Miguel Andujar.,R,L,R,NYY,LAA,X,7.0,fly_ball,0,2,2022,1.24,-0.81,-0.44,2.47,,,622110.0,0,9,Top,74.54,82.04,,,624431,,,1.2930927583598053,-111.44912160152114,2.680828761328965,10.03070895737486,22.0897755282524,-39.60679620102669,3.19,1.46,316.0,86.9,28.0,76.6,2607.0,6.5,661331,641853,624431,519203,650402,518934,643396,609280,592450,608336,53.97,0.08,0.1,0.0,1.0,0.0,0.0,3.0,71,4,Slurve,9,1,1,9,1,9,1,9,Infield shift,Standard,54.0,0.001,-0.207
114,SV,2022-05-31,77.0,-2.11,5.32,"McKay, David",650859,641853,,called_strike,,,,,5.0,Luis Rengifo flies out to left fielder Miguel Andujar.,R,L,R,NYY,LAA,S,,,0,1,2022,1.06,-0.83,0.0,2.49,,,622110.0,0,9,Top,,,,,624431,,,2.558688284376774,-112.17727209262806,2.381512491173499,8.645179554875535,17.03940692433601,-39.81435007073152,3.19,1.46,,,,77.8,2835.0,6.4,661331,641853,624431,519203,650402,518934,643396,609280,592450,608336,54.07,,,,,,,,71,2,Slurve,9,1,1,9,1,9,1,9,Strategic,Standard,48.0,0.0,-0.08
