,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
1379,CS,2022-05-29,73.0,-1.06,5.4,"Gray, Sonny",467793,543243,,called_strike,,,,,7.0,Carlos Santana lines out to right fielder Kyle Garlick.,R,L,R,MIN,KC,S,,,0,0,2022,1.25,-0.97,-0.39,1.92,,,,2,5,Top,,,,,680777,,,-0.7969469523571353,-106.2782925574048,1.9791978385586348,9.647181269500958,17.05520975664583,-40.04663111173936,3.3,1.6,,,,73.3,2498.0,6.3,661731,543243,680777,650333,593871,570482,621043,663616,624503,664247,54.17,,,,,,,,36,1,Slow Curve,5,0,0,5,0,5,0,5,Infield shift,Standard,33.0,0.0,-0.017
1547,CS,2022-05-18,72.3,-0.93,5.52,"Gray, Sonny",657656,543243,,ball,,,,,14.0,"Ramon Laureano grounds out, second baseman Jorge Polanco to first baseman Luis Arraez.",R,R,R,OAK,MIN,B,,,0,1,2022,0.71,-1.05,0.72,0.98,,,,2,5,Bot,,,,,680777,,,2.0914541528465893,-105.15820152234164,0.3050536945553468,4.786711908578373,20.12017503439312,-40.22034317749216,3.05,1.36,,,,72.3,2642.0,6.6,662377,543243,680777,650333,593871,570482,621043,624503,621439,596146,53.88,,,,,,,,49,2,Slow Curve,2,6,2,6,6,2,2,6,Standard,Standard,32.0,0.0,0.011
1765,CS,2022-04-16,73.8,-0.75,5.43,"Gray, Sonny",666915,543243,field_out,hit_into_play,,,,,14.0,Bobby Dalbec pops out to second baseman Jorge Polanco.,R,R,R,BOS,MIN,X,4.0,popup,1,2,2022,1.78,-0.59,1.01,1.89,,,,1,2,Bot,120.58,113.57,,,680777,,,0.4739622158501239,-107.44599176499874,1.1585057010889832,13.613211104106115,19.847129434492672,-37.15306897435797,3.55,1.63,216.0,76.1,50.0,73.9,2289.0,6.5,663238,543243,680777,593934,593871,570482,621043,663616,624503,596146,53.98,0.089,0.088,0.0,1.0,0.0,0.0,3.0,13,5,Slow Curve,2,0,2,0,0,2,2,0,Strategic,Strategic,52.0,-0.011,-0.112
1965,CS,2022-06-07,64.2,-1.87,5.42,"Darvish, Yu",663911,506433,,ball,,,,,11.0,Nick Plummer strikes out swinging.,R,L,R,SD,NYM,B,,,0,1,2022,0.88,-1.36,-2.6,4.37,,,,2,5,Top,,,,,543592,,,-2.6263802446401905,-92.81152213339028,8.818567897575708,5.506014316031896,15.843271653699746,-41.69593567241536,3.11,1.38,,,,63.8,2400.0,6.6,662277,506433,543592,543333,630105,592518,673490,595777,663757,608577,53.86,,,,,,,,35,2,Slow Curve,4,0,0,4,0,4,0,4,Infield shift,Standard,28.0,0.0,0.011
303,CS,2022-09-17,66.8,1.7,5.77,"Hill, Rich",521692,448179,single,hit_into_play,,,,,2.0,Salvador Perez singles on a sharp line drive to center fielder Enrique Hernandez.   MJ Melendez scores.,R,R,L,BOS,KC,X,8.0,line_drive,0,1,2022,-1.43,-0.95,0.11,3.37,,669004.0,,2,3,Top,81.3,70.08,,,657136,,,-0.6690382220284798,-96.98690252273914,5.33144218650345,-8.729238369046092,18.91625775115348,-39.3786141210049,3.59,1.68,303.0,102.2,21.0,65.8,2364.0,6.2,663208,448179,657136,671213,624414,646240,644374,502054,571771,657077,54.33,0.529,0.705,0.9,1.0,1.0,0.0,5.0,18,2,Slow Curve,0,1,1,0,2,0,2,0,Infield shift,Standard,314.0,-0.098,0.787
598,CS,2022-08-27,68.1,1.62,5.63,"Hill, Rich",622534,448179,,foul,,,,,14.0,Manuel Margot strikes out swinging.,R,R,L,BOS,TB,S,,,1,2,2022,-1.46,-1.02,0.03,1.15,,,,1,6,Top,,,,,608700,,,-0.639216247584937,-98.99947879709848,1.2853070929966106,-9.31613647089682,19.42595296911561,-39.25923325994869,3.35,1.63,7.0,69.5,-11.0,66.8,2518.0,5.8,663170,448179,608700,666915,596115,646240,593428,502054,571771,657077,54.74,,,,,,,,43,4,Slow Curve,5,0,0,5,0,5,0,5,Strategic,Standard,310.0,0.0,0.0
643,CS,2022-08-27,66.9,1.68,5.61,"Hill, Rich",642350,448179,,foul,,,,,13.0,Jose Siri strikes out swinging.,R,R,L,BOS,TB,S,,,1,2,2022,-1.22,-0.94,-0.85,2.19,,,644374.0,1,3,Top,,,,,608700,,,-2.741606182660901,-97.31998194891769,3.282412660811973,-7.2258847791579,16.724239390699374,-38.92547492628187,3.43,1.68,97.0,95.4,6.0,66.4,2364.0,6.1,663170,448179,608700,666915,596115,646240,593428,502054,571771,657077,54.36,,,,,,,,21,4,Slow Curve,4,0,0,4,0,4,0,4,Standard,Standard,315.0,0.0,0.0
702,CS,2022-08-17,66.6,1.75,6.03,"Hill, Rich",641511,448179,,foul,,,,,7.0,"Jason Delay grounds out, shortstop Xander Bogaerts to first baseman Eric Hosmer.",R,R,L,PIT,BOS,S,,,0,2,2022,-1.24,-0.97,-0.72,2.12,,,,0,3,Bot,,,,,624512,,,-2.570813424732207,-96.81567675251432,2.4889726974640487,-7.288910755313216,16.764841805102957,-38.923630321014,3.46,1.63,373.0,98.7,31.0,65.6,2455.0,5.7,662301,448179,624512,543333,624414,646240,593428,502054,571771,657077,54.75,,,,,,,,25,3,Slow Curve,2,3,2,3,3,2,2,3,Standard,Standard,314.0,0.0,0.0
889,CS,2022-07-01,64.3,1.42,5.79,"Hill, Rich",664023,448179,,foul,,,,,13.0,"Ian Happ grounds out, pitcher Rich Hill to first baseman Franchy Cordero.",R,R,L,CHC,BOS,S,,,0,2,2022,-1.37,-0.79,-1.4,1.36,,,575929.0,2,3,Bot,,,,,543877,,,-2.9192986153255127,-93.50025304056987,1.847357817056639,-7.446513715637691,16.2792023004469,-37.31027187111801,3.52,1.6,5.0,82.0,-15.0,64.1,2272.0,6.5,663185,448179,543877,614173,596115,646240,593428,657077,680776,598265,54.02,,,,,,,,27,3,Slow Curve,0,4,0,4,4,0,0,4,Standard,Standard,313.0,0.0,0.0
964,CS,2022-06-26,67.3,1.65,5.56,"Hill, Rich",614177,448179,strikeout,swinging_strike,,,,,8.0,Franmil Reyes strikes out swinging.,R,R,L,CLE,BOS,S,2.0,,0,2,2022,-1.9,-1.04,-0.05,1.76,,680911.0,608070.0,2,3,Bot,,,,,543877,,,-0.1064212687276838,-97.70737149919178,2.8636263306725325,-11.924154150247569,19.625095158205824,-39.5587497795431,3.76,1.72,,,,66.7,2398.0,6.5,663121,448179,543877,614173,596115,646240,593428,657077,680776,598265,53.97,,,0.0,1.0,0.0,0.0,,28,3,Slow Curve,0,1,0,1,1,0,0,1,Standard,Standard,319.0,-0.053,-0.289
